,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud,Total_Servicios_Disponibles,Categoria_Poblacion
225,BUENOS AIRES,Tres De Febrero,11 De Septiembre,4402,True,True,False,True,True,False,True,True,True,6840010.0,-34.566314345456,-58.6183600679169,7,Mediana
226,BUENOS AIRES,Tres De Febrero,Caseros,91280,True,True,False,True,True,True,True,True,True,6840010.0,-34.608872950993,-58.5636644572416,8,Grande
227,BUENOS AIRES,Tres De Febrero,Churruca,5846,True,True,False,True,False,False,True,True,True,6840010.0,-34.5589664800215,-58.6228016204112,6,Mediana
228,BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,17794,True,True,False,True,False,False,True,True,True,6840010.0,-34.5961197253917,-58.5965998962097,6,Grande
229,BUENOS AIRES,Tres De Febrero,Ciudadela,73939,True,True,True,True,True,True,True,True,True,6840010.0,-34.6326965166188,-58.5424067827037,9,Grande
230,CABA,COMUNA 01,SAN TELMO,20453,True,True,True,True,True,True,True,True,True,2000010.0,-34.6215200115838,-58.3715453876304,9,Grande
231,BUENOS AIRES,Azul,Azul,55728,True,True,True,True,True,True,True,True,True,6049020.0,-36.7795144970313,-59.8586331707414,9,Grande
232,BUENOS AIRES,Azul,Cacharí,2960,False,False,True,False,False,True,True,True,True,6049030.0,-36.3805626332947,-59.5030645507265,5,Mediana
233,BUENOS AIRES,Azul,Chillar,3083,False,False,False,False,True,True,True,True,True,6049040.0,-37.3150113247344,-59.9853181679139,5,Mediana
234,BUENOS AIRES,Bahía Blanca,Bahía Blanca,291327,True,True,True,True,True,True,True,True,True,6056010.0,-38.7114037284555,-62.2569089501864,9,Grande
235,BUENOS AIRES,Bahía Blanca,Cabildo,2046,False,True,True,True,False,True,True,True,True,6056020.0,-38.4838572081944,-61.8926015349487,7,Mediana
236,BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),6745,True,True,True,True,False,True,True,True,True,6056030.0,-38.7136524854986,-62.3924221653991,8,Mediana
237,BUENOS AIRES,Bahía Blanca,Grunbein,0,False,False,False,False,False,False,False,True,True,6056020.0,-38.7471079502848,-62.1891166907456,2,Muy pequeña
238,BUENOS AIRES,Bahía Blanca,Ingeniero White,0,False,False,False,True,True,False,False,True,True,6056020.0,-38.7794670416666,-62.262951248824,4,Muy pequeña
239,BUENOS AIRES,Lanús,Gerli,33704,True,True,True,True,False,False,True,True,True,6434010.0,-34.6909571502715,-58.3838628492162,7,Grande
240,BUENOS AIRES,Lanús,Lanús Este,55952,True,True,True,True,True,True,True,True,True,6434010.0,-34.7108609216651,-58.3725047463731,9,Grande
241,BUENOS AIRES,Lanús,Lanús Oeste,159094,False,True,True,True,False,True,True,True,True,6434010.0,-34.6957815314992,-58.416253274019,7,Grande
242,BUENOS AIRES,Lanús,Monte Chingolo,86220,True,True,True,True,False,False,True,True,True,6434010.0,-34.7302098940207,-58.3561741850066,7,Grande
